spot_id,spot_name,lat,lon,count,spot_types,is_parking
72,奈良先端科学技術大学院大学 先端科学技術研究科 情報科学領域,34.73007,135.73132,59,"[""university"", ""point_of_interest"", ""establishment""]",True
73,バーミヤン 生駒白庭台店,34.726351,135.715195,59,"[""meal_delivery"", ""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
74,ユクリ,34.723825,135.77072,58,"[""point_of_interest"", ""establishment""]",False
75,（株）松林堂,34.686594,135.8253655,58,"[""store"", ""point_of_interest"", ""establishment""]",False
76,EV充電スタンド,34.691871,135.701291,58,"[""point_of_interest"", ""establishment""]",False
77,岩田高木２丁目の祠,34.855075,135.743233,57,"[""place_of_worship"", ""point_of_interest"", ""establishment""]",False
78,コメリパワー 生駒店,34.728142,135.7203215,56,"[""furniture_store"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment""]",False
79,谷口自動車株式会社,34.8501955,135.743856,55,"[""car_repair"", ""point_of_interest"", ""establishment""]",False
80,奈良先端科学技術大学院大学（バス）,34.73134,135.73153,53,"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]",True
81,せいかガーデンシティ,34.760308,135.789676,52,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
82,ジャパン 奈良押熊店,34.714935,135.771981,52,"[""drugstore"", ""pharmacy"", ""health"", ""store"", ""point_of_interest"", ""establishment""]",False
83,イオンモール奈良登美ヶ丘,34.72517,135.75009,50,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
84,学研奈良登美ヶ丘郵便局,34.7228885,135.74742550000002,49,"[""post_office"", ""finance"", ""point_of_interest"", ""establishment""]",False
85,アピタタウンけいはんな,34.745887,135.769595,48,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
86,パラカ 近鉄富雄駅前第1,34.69487650000001,135.7362885,48,"[""parking"", ""point_of_interest"", ""establishment""]",False
87,きんのぶた 北生駒上町店,34.72535,135.72042,48,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
88,辰巳マンション,34.688606,135.805351,46,"[""point_of_interest"", ""establishment""]",False
89,イオンモール奈良登美ヶ丘,34.725661,135.749401,46,"[""shopping_mall"", ""electronics_store"", ""store"", ""point_of_interest"", ""establishment""]",False
90,まえはし整骨院,34.723338,135.725335,45,"[""health"", ""point_of_interest"", ""establishment""]",False
91,CARBOO,34.732673,135.737378,44,"[""car_dealer"", ""store"", ""point_of_interest"", ""establishment""]",False
92,キリン堂 生駒店,34.710403,135.705858,42,"[""drugstore"", ""health"", ""store"", ""point_of_interest"", ""establishment""]",False
93,石臼挽き手打ちそば 蕎麦人,34.74225,135.758363,41,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
94,むさしの森珈琲 奈良中登美ケ丘店,34.7226905,135.7467315,40,"[""cafe"", ""point_of_interest"", ""store"", ""food"", ""establishment""]",False
95,コメダ珈琲店 生駒店,34.725638,135.718886,39,"[""cafe"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
96,二輪館P.F.D.,34.683622,135.73971949999998,38,"[""store"", ""point_of_interest"", ""establishment""]",False
97,ピザハット ならやま大通り押熊店,34.7178205,135.763253,38,"[""meal_delivery"", ""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
98,ビエラタウン けいはんな,34.74551,135.76789,37,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
99,ファミリーマート 生駒西白庭台店,34.7309,135.7077,37,"[""convenience_store"", ""food"", ""point_of_interest"", ""store"", ""establishment""]",False
100,奈良先端科学技術大学院大学 先端科学技術研究科 情報科学領域,34.732205,135.735938,35,"[""university"", ""point_of_interest"", ""establishment""]",True
101,ローソン 奈良押熊町店,34.723125,135.770818,34,"[""convenience_store"", ""atm"", ""finance"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
102,チケパ登美ヶ丘駅前第２駐車場,34.72944,135.75317,34,"[""parking"", ""point_of_interest"", ""establishment""]",False
103,ファミリーマート 生駒上町店,34.71234,135.725152,34,"[""convenience_store"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
104,奈良先端科学技術大学院大学,34.73256,135.73415,34,"[""university"", ""point_of_interest"", ""establishment""]",True
105,しゃぶ葉 奈良押熊店,34.716015,135.7795,32,"[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",False
106,セブン-イレブン 奈良中登美ヶ丘３丁目店,34.718633,135.745753,32,"[""convenience_store"", ""atm"", ""finance"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
107,(株)ミルスペック,34.7231,135.595846,32,"[""car_repair"", ""point_of_interest"", ""establishment""]",False
108,学際融合領域研究棟２号館,34.73254,135.73288,32,"[""university"", ""point_of_interest"", ""establishment""]",True
109,スシロー 学園前店,34.685718,135.7521,31,"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
110,ビエラタウン けいはんな,34.74512,135.76835,31,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
111,セブン-イレブン 生駒南田原町店,34.71467,135.704091,31,"[""convenience_store"", ""atm"", ""finance"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
112,生駒市体育協会 高山S.C.,34.769808999999995,135.7109255,31,"[""point_of_interest"", ""establishment""]",False
113,イオンモール高の原,34.726311,135.790215,30,"[""shopping_mall"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
114,ディアーズキッチン,34.7345315,135.7490065,30,"[""bakery"", ""food"", ""store"", ""point_of_interest"", ""establishment""]",False
115,貞光歯科,34.700076,135.751105,30,"[""health"", ""point_of_interest"", ""establishment""]",False
116,奈良先端科学技術大学院大学 学生宿舎,34.73275,135.73649,30,"[""school"", ""point_of_interest"", ""establishment""]",True
117,HSP Healing Cafe カクレミノ家 奈良駅前店,34.68669,135.82657,29,"[""health"", ""point_of_interest"", ""establishment""]",False
118,ミレニアムホール,34.7328005,135.733362,29,"[""school"", ""point_of_interest"", ""establishment""]",True
119,ビエラタウン けいはんな,34.74576,135.76842,29,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
120,本家かまどや 山田川店,34.738301,135.793528,28,"[""store"", ""food"", ""point_of_interest"", ""establishment""]",False
121,トリカヂ イッパイ,34.7032045,135.697055,28,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
122,天下一品 東生駒店,34.7037755,135.706623,28,"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
123,かしき屋 福茂千,34.718354500000004,135.7313115,27,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
124,タイムズ木津駅前,34.735588,135.822848,27,"[""parking"", ""point_of_interest"", ""establishment""]",False
125,コーナン精華台店,34.745475,135.773073,27,"[""furniture_store"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment""]",False
126,津山白鳳書院,34.715733,135.747688,27,"[""point_of_interest"", ""establishment""]",False
127,スーパーセンターオークワ 生駒上町店,34.72395,135.722108,27,"[""supermarket"", ""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
128,上武建設,34.72943,135.73115,27,"[""general_contractor"", ""point_of_interest"", ""establishment""]",True
129,ユーポス生駒店,34.714048,135.703598,26,"[""local_government_office"", ""car_dealer"", ""store"", ""point_of_interest"", ""establishment""]",False
130,美容室 ヘアサロン 絆-キズナ-,34.7466205,135.770122,26,"[""hair_care"", ""point_of_interest"", ""establishment""]",False
131,鳥鳥 学園前店,34.699566,135.75264,26,"[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",False
132,イオンモール高の原,34.725256,135.789816,25,"[""shopping_mall"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
133,スーパーヤオヒコ 富雄店,34.69227,135.735318,25,"[""supermarket"", ""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
134,ミカノハラ陶工舎,34.76958,135.86043,25,"[""point_of_interest"", ""establishment""]",False
135,ゆうちょ銀行 大阪支店 ファミリーマート西登美ヶ丘店内出張所,34.715428,135.7384305,24,"[""atm"", ""finance"", ""point_of_interest"", ""establishment""]",False
136,平城第1管理サービス事務所,34.722116,135.779121,24,"[""real_estate_agency"", ""point_of_interest"", ""establishment""]",False
137,イオンモール高の原,34.724076,135.790626,24,"[""shopping_mall"", ""health"", ""store"", ""point_of_interest"", ""establishment""]",False
138,ALOHA CAFE Pineapple 生駒店,34.71753,135.723536,24,"[""cafe"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
139,BOOKOFF 奈良押熊店,34.71871,135.772711,23,"[""movie_rental"", ""electronics_store"", ""book_store"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment""]",False
140,ムツミ,34.72986,135.7303,23,"[""point_of_interest"", ""establishment""]",False
141,ファミリーモア八重桜 押熊館,34.71619,135.772896,23,"[""health"", ""point_of_interest"", ""establishment""]",False
142,奈良先端科学技術大学院大学（バス）,34.73195,135.73176,23,"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]",False
143,つけ麺 無心,34.6746035,135.752253,22,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
144,AL　PLAZA,34.738808,135.79354899999998,22,"[""point_of_interest"", ""establishment""]",False
145,MEGAドン・キホーテUNY精華台店,34.746548,135.770695,22,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
146,あづまケータリングサービス おしくま店,34.715269000000006,135.7789965,22,"[""food"", ""point_of_interest"", ""establishment""]",False
147,元喜神 押熊店,34.71912,135.765678,22,"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
148,事務棟別館,34.734163,135.7316995,22,"[""university"", ""point_of_interest"", ""establishment""]",False
149,ビッグボーイ 奈良平城店,34.72045,135.772228,22,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
